timestamp, cpu_speed_mhz, cpu_tmep_c, ram_speed_kb
2024-07-20T23:57:57.029970526-03:00, 0, (), 8011481088 
2024-07-20T23:57:57.097412283-03:00, 0, (), 8011481088 
2024-07-20T23:57:57.171164209-03:00, 0, (), 8011481088 
2024-07-20T23:57:57.241662896-03:00, 0, (), 8011481088 
2024-07-20T23:57:57.309772618-03:00, 0, (), 8011481088 
2024-07-20T23:57:57.382345216-03:00, 0, (), 8011481088 
2024-07-20T23:57:57.456643386-03:00, 0, (), 8011481088 
2024-07-20T23:57:57.506595757-03:00, 0, (), 8011481088 
2024-07-20T23:57:57.563832600-03:00, 0, (), 8011481088 
2024-07-20T23:57:57.636150934-03:00, 0, (), 8011481088 
2024-07-20T23:57:57.712160660-03:00, 0, (), 8011481088 
2024-07-20T23:57:57.783668770-03:00, 0, (), 8011481088 
2024-07-20T23:57:57.838488144-03:00, 0, (), 8011481088 
2024-07-20T23:57:57.910357789-03:00, 0, (), 8011481088 
2024-07-20T23:57:57.985020971-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.032800380-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.084893889-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.157121960-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.212411686-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.271067875-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.343651063-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.392853854-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.470562994-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.541052652-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.608280854-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.674784239-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.726482096-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.797968391-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.854535604-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.905297595-03:00, 0, (), 8011481088 
2024-07-20T23:57:58.955925533-03:00, 0, (), 8011481088 
2024-07-20T23:57:59.026961131-03:00, 0, (), 8011481088 
2024-07-20T23:57:59.108207527-03:00, 0, (), 8011481088 
